county_code,day_of_week,device_count,completely_home_device_count,part_time_work_behavior_devices,full_time_work_behavior_devices,delivery_behavior_devices,total_home_dwell_time,total_non_home_dwell_time
1053,3,2397,0.1699621371,0.1687000421,0.1053051456,0.032957864,604.5153555,288.7736643
1053,4,2453,0.162848813,0.1589889931,0.09589597725,0.03575782202,570.0783972,294.8642479
1053,5,2496,0.2246520875,0.08473879062,0.02756067462,0.02383888204,655.0616523,128.3161034
1053,6,2500,0.272,0.08819018405,0.02760736196,0.02569018405,746.9264943,129.8117932
1055,0,8795,0.181045875,0.176122797,0.111881751,0.04328652663,684.6013644,278.7275056
1055,1,8699,0.189607518,0.1860696517,0.1240557129,0.04299344752,663.5687348,302.4196794
1055,2,8744,0.1649130833,0.1732052934,0.1103173674,0.03337627357,660.5206261,313.5380833
1055,3,8616,0.1701506481,0.182915506,0.1178325353,0.04073816156,665.2708914,309.5167592
1055,4,8726,0.1641473519,0.1720971896,0.1040101699,0.05661242264,617.8798398,308.0565122
1055,5,9133,0.2292889759,0.09503996496,0.03051858651,0.03082470629,774.3299988,140.7546596
1055,6,8894,0.2460245343,0.1057794839,0.02943058221,0.02900405204,831.2741708,142.9744772
1057,0,1471,0.150917743,0.1886350322,0.119646499,0.02583276683,676.8008386,320.4819588
1057,1,1444,0.1396910678,0.1920752183,0.122901276,0.02437325905,679.9720865,351.4110141
1057,2,1474,0.1288981289,0.1981981982,0.1209268646,0.02148302148,670.3638254,364.8489258
1057,3,1446,0.1234132581,0.1887966805,0.1293222683,0.02688953488,662.4781382,369.8008299
1057,4,1494,0.1272131148,0.1898395722,0.1118644068,0.03882195448,623.1750359,366.6901695
1057,5,1513,0.1608487337,0.1054072553,0.03080082136,0.02105263158,778.0019973,185.0862269
1057,6,1513,0.2055771725,0.09922178988,0.02983138781,0.01959619952,859.7571259,173.6543291
1059,0,2405,0.1455563331,0.188593422,0.0843373494,0.03649000869,692.7426195,316.4440168
1059,1,2398,0.1491525424,0.1988855551,0.1178907721,0.03181635119,689.5030095,370.9914015
